Course Code,Title,Units,Description,Prerequisites
ECN 235C,— Macroeconomics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",ECN 200D; or consent of instructor.
ECN 235D,— Macroeconomics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Repeat Credit:May be repeated with consent of Economics Graduate Studies Committee.Grade Mode:Letter.",
ECN 239,— Econometric Foundations,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Cross Listing:ARE 239.Grade Mode:Letter.",Graduate standing or consent of instructor.
ECN 240A,— Econometric Methods,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Cross Listing:ARE 240A.Grade Mode:Letter.",ECN 239; or consent of instructor.
ECN 240B,— Econometric Methods,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Cross Listing:ARE 240B.Grade Mode:Letter.",ECN 240A.
ECN 240C,— Time Series Econometrics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Cross Listing:ARE 240C.Grade Mode:Letter.",ECN 240B; or consent of instructor.
ECN 240D,— Cross Section Econometrics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Cross Listing:ARE 240D.Grade Mode:Letter.",ECN 240B; or consent of instructor.
ECN 240E,— Topics in Time Series Econometrics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Cross Listing:ARE 240E.Grade Mode:Letter.",ECN 240C; or consent of instructor.
ECN 240F,— Topics in Cross Section Econometrics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Cross Listing:ARE 240F.Grade Mode:Letter.",ECN 240D; or consent of instructor.
ECN 250A,— Labor Economics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",(ECN 150A and ECN 150B) or the equivalent.
ECN 250B,— Labor Economics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",ECN 151A; or consent of instructor; ECN 204 orECN 200Arecommended.
ECN 260A,— International Economics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",ECN 200Aor ECN 204.
ECN 260B,— International Economics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",ECN 200D;ECN 200E.
ECN 260CN,— International Investment & Trade,(4 units),Learning Activities:Seminar 4 hour(s).Grade Mode:Letter.,ECN 260A.
ECN 260D,— Topics in International Macroeconomics,(4 units),Learning Activities:Seminar 4 hour(s).Grade Mode:Letter.,ECN 260B; or consent of instructor.
ECN 260E,— Topics in International Trade,(4 units),Learning Activities:Seminar 4 hour(s).Grade Mode:Letter.,ECN 260A;ECN 260B.
ECN 260F,— International Macroeconomic Policy,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",ECN 260B.
ECN 270A,— Economics of Growth,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",ECN 200D;ECN 200E.
ECN 270B,— Economics of Growth,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",ECN 200D;ECN 200E.
ECN 270C,— Economics of Growth,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",ECN 200D;ECN 200E.
ECN 280,— Orientation to Economic Research,(2 units),Learning Activities:Discussion 2 hour(s).Grade Mode:Satisfactory/Unsatisfactory only.,
ECN 290,— Topics in Economics,(4 units),Learning Activities:Seminar 4 hour(s).Repeat Credit:May be repeated.Grade Mode:Letter.,Consent of instructor.
ECN 291,— Contemporary Economics Seminar,(2 units),Learning Activities:Seminar 2 hour(s).Repeat Credit:May be repeated.Grade Mode:Satisfactory/Unsatisfactory only.,Graduate standing in Economics.
ECN 298,— Group Study,(1-5 units),Learning Activities:Discussion 1-5 hour(s).Grade Mode:Satisfactory/Unsatisfactory only.,Consent of instructor. Graduate standing.
ECN 299,— Individual Study,(1-12 units),Learning Activities:Variable.Grade Mode:Satisfactory/Unsatisfactory only.,Consent of instructor. Graduate standing.
ECN 299D,— Dissertation Research,(1-12 units),Learning Activities:Variable.Repeat Credit:May be repeated.Grade Mode:Satisfactory/Unsatisfactory only.,
ECN 397,— Teaching of Economics,(2 units),Learning Activities:Lecture/Discussion 2 hour(s).Grade Mode:Satisfactory/Unsatisfactory only.,Graduate standing in economics.
