Course Code,Title,Units,Description,Prerequisites,Learning Activities,Grade Mode,General Education
ECS 271,Machine Learning & Discovery,4,"Learning Activities:Lecture 3 hour(s), Project 1 hour(s).Enrollment Restriction(s):Pass One open to PhD students in Computer Science only and Pass Two open to graduate students in Computer Science only.Grade Mode:Letter.",ECS 170,"Lecture 3 hour(s), Project 1 hour(s)",Letter,
ECS 272,Information Visualization,4,"Learning Activities:Lecture 3 hour(s), Laboratory 3 hour(s).Enrollment Restriction(s):Open to Graduate Students in Computer Science only.Grade Mode:Letter.",ECS 163orECS 175recommended,"Lecture 3 hour(s), Laboratory 3 hour(s)",Letter,
ECS 273,Visual Analytics,4,"Learning Activities:Lecture 3 hour(s), Project.Enrollment Restriction(s):Pass One restricted to graduate students in Computer Science only; Pass Two restricted to graduate students only.Grade Mode:Letter.",Graduate standing,"Lecture 3 hour(s), Project",Letter,
ECS 274,Automated Deduction,4,Learning Activities:Lecture 3 hour(s).Enrollment Restriction(s):Open to Graduate Students in Computer Science only.Grade Mode:Letter.,PHI 112; or MAT 125 or familiarity with first OR der logic,Lecture 3 hour(s),Letter,
ECS 275A,Advanced Computer Graphics,4,"Learning Activities:Lecture 3 hour(s), Laboratory 3 hour(s).Enrollment Restriction(s):Open to Graduate Students in Computer Science only.Grade Mode:Letter.",ECS 175orECS 177orECS 178,"Lecture 3 hour(s), Laboratory 3 hour(s)",Letter,
ECS 275B,Advanced Computer Graphics,4,"Learning Activities:Lecture 3 hour(s), Laboratory 3 hour(s).Enrollment Restriction(s):Open to Graduate Students in Computer Science only.Grade Mode:Letter.",ECS 175orECS 177orECS 178,"Lecture 3 hour(s), Laboratory 3 hour(s)",Letter,
ECS 276,Advanced Volume Visualization,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Open to Graduate Students in Computer Science only.Grade Mode:Letter.",ECS 177,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
ECS 277,Advanced Visualization,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Open to Graduate Students in Computer Science only.Grade Mode:Letter.",ECS 177,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
ECS 278,Computer-Aided Geometric Design,4,"Learning Activities:Lecture 3 hour(s), Laboratory 3 hour(s).Enrollment Restriction(s):Open to Graduate Students in Computer Science only.Grade Mode:Letter.",ECS 175,"Lecture 3 hour(s), Laboratory 3 hour(s)",Letter,
ECS 279,Computer Animation,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Open to Graduate Students in Computer Science only.Grade Mode:Letter.",ECS 175; or ECS 275,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
ECS 280,Virtual Reality Technology,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Open to Graduate Students in Computer Science only.Grade Mode:Letter.",ECS 175,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
ECS 281,Applied Research Methods for Human-Computer Interaction,4,"Learning Activities:Lecture 3 hour(s), Project.Enrollment Restriction(s):Pass One open to graduate students in Computer Science only; Pass Two open to graduate students only.Grade Mode:Letter.","Courses or experience related to product development in mobile apps, websites, information systems, and/or AI tools recommended","Lecture 3 hour(s), Project",Letter,
ECS 282,Advanced Natural Language Processing,4,"Learning Activities:Lecture 3 hour(s), Project.Enrollment Restriction(s):Pass One restricted to Ph.D. students in Computer Science; Pass Two restricted to graduate students in Computer Science.Grade Mode:Letter.",ECS 171orECS 271; or equivalent machine learning course,"Lecture 3 hour(s), Project",Letter,
ECS 289A,Special Topics in Computer Science: Computer Science Theory,1,"Learning Activities:Lecture, Laboratory, Lecture/Lab.Enrollment Restriction(s):Open to Graduate Students in Computer Science only.Repeat Credit:May be repeated when topic differs.Grade Mode:Letter.",Consent of instructor,"Lecture, Laboratory, Lecture/Lab",Letter,
