Course Code,Title,Units,Description,Prerequisites,Learning Activities,Grade Mode,General Education
MGT 161,,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to Business majors.Grade Mode:Letter.",MGT 160 or better OR ARE 171 or better,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
MGT 163,Buyouts & Acquisitions,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass one restricted to Business majors.Grade Mode:Letter.",MGT 160 or better OR ARE 171 or better,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
MGT 165,Venture Capital & Finance of Innovation,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to Business majors.Grade Mode:Letter.",MGT 160 or better OR ARE 171 or better,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
MGT 170,Management Accounting & Control,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).MGT 170— Management Accounting & Control (4 units)Course Description:Covers the design of cost accounting systems, the preparation of financial budgets and forecasts, cost analysis, and the use of cost and other financial data to motivate and evaluate the performance of business units and managers.Prerequisite(s):(MGT 011AC- or better orMGT 011AVC- or better orMGT 011AYC- or better);MGT 011BC- or better.Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to business majors.Grade Mode:Letter.General Education:Social Sciences (SS).This course version is effective from, and including:  Fall Quarter 2026.",( MGT 011AorMGT 011AVorMGT 011AY ) ;MGT 011B; or consent of instructor,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SS
MGT 180,Supply Chain Planning & Management,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).MGT 180— Introduction to Operations Management (4 units)Course Description:Delivery of goods and services to customers, focusing on effectiveness and efficiency of processes. Key concepts and relationships between supply chain design and business models and strategies.Prerequisite(s):(STA 013C- or better orSTA 013YC- or better orSTA 032C- or better).Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to Business majors.Grade Mode:Letter.General Education:Social Sciences (SS).This course version is effective from, and including:  Fall Quarter 2026.",,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SS
MGT 190,Special Topics in Accounting,4,Learning Activities:Seminar 4 hour(s).Grade Mode:Letter.,( MGT 011AorMGT 011AVorMGT 011AY ) ;MGT 011B;MGT 101,Seminar 4 hour(s),Letter,
MGT 192,Internship in Business,1,"Learning Activities:Variable,Grade Mode:P/NP only.",Consent of instructor,"Variable,Grade Mode:P/NP only",Pass/No Pass only,
MGT 198,Directed Group Study,1,Learning Activities:Variable 1-5 hour(s).Repeat Credit:May be repeated 6 unit(s)  when topic differs.Grade Mode:Pass/No Pass only.,,Variable 1-5 hour(s),Pass/No Pass only,
MGT 199,Special Study for Advanced Undergraduates,1,Learning Activities:Variable 3-15 hour(s).Repeat Credit:May be repeated.Grade Mode:Pass/No Pass only.,Consent of instructor,Variable 3-15 hour(s),Pass/No Pass only,
MGT 200A,Financial Accounting,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,Graduate student in the Graduate School of Management,Lecture 3 hour(s),Letter,
MGT 200B,Managerial Accounting,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,MGT 200AorMGB 200AorMGP 200A,Lecture 3 hour(s),Letter,
MGT 201A,The Individual & Group Dynamics,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,Graduate student in the Graduate School of Management,Lecture 3 hour(s),Letter,
MGT 201B,Organizational Strategy & Structure,3,Learning Activities:Lecture/Discussion 3 hour(s).Enrollment Restriction(s):Open to MBA students only.Grade Mode:Letter.,Completion of first year courses in Graduate School of Management or the equivalent,Lecture/Discussion 3 hour(s),Letter,
MGT 202A,Markets & the Firm,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,Graduate student in the Graduate School of Management,Lecture 3 hour(s),Letter,
MGT 202B,"Business, Government, & the International Economy",3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,MGT 202AorMGV 202AVorMGP 202A,Lecture 3 hour(s),Letter,
MGT 203A,Data Analysis for Managers,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,Graduate student in the Graduate School of Management MBA program or consent of instructor,Lecture 3 hour(s),Letter,
MGT 203B,Forecasting & Managerial Research Methods,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,MGT 203AorMGB 203AorMGP 203A,Lecture 3 hour(s),Letter,
MGT 204,Marketing Management,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,Graduate student in the Graduate School of Management,Lecture 3 hour(s),Letter,
MGT 205,Financial Theory & Policy,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,Graduate student in the Graduate School of Management,Lecture 3 hour(s),Letter,
MGT 206,Decision Making & Management Science,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,Graduate student in the Graduate School of Management MBA program or consent of instructor,Lecture 3 hour(s),Letter,
MGT 207,Management Information Systems,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,Graduate student or consent of instructor,Lecture 3 hour(s),Letter,
MGT 215,Business Law,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,Completion of administration core requirements or petition with consent of instructor,Lecture 3 hour(s),Letter,
MGT 216,"Managing Professionals, Budgets, Controls & Ethics",3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,Graduate standing,Lecture 3 hour(s),Letter,
MGT 220,Management of Social Networks,3,Learning Activities:Lecture/Discussion 3 hour(s).Enrollment Restriction(s):Open to MBA students only.Grade Mode:Letter.,MGT 201A,Lecture/Discussion 3 hour(s),Letter,
MGT 223,Power & Influence in Management,3,Learning Activities:Seminar 3 hour(s).Grade Mode:Letter.,MGT 201AorMGB 201AorMGP 201A; consent of instructor,Seminar 3 hour(s),Letter,
MGT 224,Managing People in High-Performance Organizations,3,Learning Activities:Lecture 3 hour(s).Enrollment Restriction(s):Restricted to students in the MBA program.Credit Limitation(s):Not open to students who have takenMGB 224orMGP 224.Grade Mode:Letter.,MGT 201AorMGB 201AorMGP 201A,Lecture 3 hour(s),Letter,
MGT 234,Pricing,3,Learning Activities:Lecture/Discussion 3 hour(s).Enrollment Restriction(s):Restricted to students in the MBA program.Grade Mode:Letter.,MGB 204orMGP 204orMGT 204,Lecture/Discussion 3 hour(s),Letter,
MGT 239,Digital Marketing,3,Learning Activities:Lecture/Discussion 3 hour(s).Grade Mode:Letter.,MGT 204orMGB 204orMGP 204,Lecture/Discussion 3 hour(s),Letter,
MGT 240,Management Policy & Strategy,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,First-year core courses of M.B.A. program,Lecture 3 hour(s),Letter,
MGT 240A,Intergrated Management Project,3,Learning Activities:Lecture/Discussion 3 hour(s).Enrollment Restriction(s):Restricted to full-time MBA students.Grade Mode:Letter.,First-year core courses of MBA program,Lecture/Discussion 3 hour(s),Letter,
MGT 241,New Product Development,3,Learning Activities:Lecture/Discussion 3 hour(s).Enrollment Restriction(s):Open to graduate students in the Graduate School of Management.Grade Mode:Letter.,MGT 204orMGB 204orMGP 204,Lecture/Discussion 3 hour(s),Letter,
MGT 242,Marketing Communications,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,,Lecture 3 hour(s),Letter,
MGT 243,Customer Relationship Management,3,Learning Activities:Lecture/Discussion 3 hour(s).Enrollment Restriction(s):Restricted to MBA students only.Grade Mode:Letter.,MGT 204orMGB 204orMGP 204,Lecture/Discussion 3 hour(s),Letter,
MGT 244,New & Small Business Ventures,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,MGT 204orMGB 204orMGP 204,Lecture 3 hour(s),Letter,
MGT 245,Business Writing,3,Learning Activities:Lecture/Discussion 3 hour(s).Enrollment Restriction(s):Restricted to MBA students only.Grade Mode:Letter.,Completion of first-year core courses at the Graduate School of Management or the equivalent,Lecture/Discussion 3 hour(s),Letter,
MGT 246,Negotiation & Team Building,3,Learning Activities:Lecture/Discussion 3 hour(s).Grade Mode:Letter.,MGT 205; MGT 202,Lecture/Discussion 3 hour(s),Letter,
MGT 247,Customer Service as a Marketing Tool,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,,Lecture 3 hour(s),Letter,
MGT 248,Marketing Strategies,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,( MGT 202AorMGV 202AVorMGP 202A ) ; ( MGP 204orMGB 204orMGT 204 ) ,Lecture 3 hour(s),Letter,
MGT 249,Marketing Research,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,( MGT 202AorMGV 202AVorMGP 202A ) ; ( MGP 203AorMGB 203AorMGT 203A ) ; ( MGT 204orMGB 204orMGP 204 ) ,Lecture 3 hour(s),Letter,
MGT 250,"Technology, Competition & Strategy",3,Learning Activities:Lecture 3 hour(s).Enrollment Restriction(s):Restricted to students in the MBA program.Grade Mode:Letter.,( MGT 202AorMGV 202AVorMGP 202A ) ; ( MGP 203AorMGT 203AorMGB 203A ) ,Lecture 3 hour(s),Letter,
MGT 251,Management of Innovation,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,MGT 201AorMGB 201AorMGP 201A,Lecture 3 hour(s),Letter,
MGT 252,Managing for Operational Excellence,3,Learning Activities:Lecture 3 hour(s).Enrollment Restriction(s):Open to students in the Graduate School of Management.Grade Mode:Letter.,MGT 203AorMGB 203AorMGP 203A,Lecture 3 hour(s),Letter,
MGT 253,Corporate Social Responsibility,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,,Lecture 3 hour(s),Letter,
MGT 255,Entrepreneurship & Venture Investment Clinic,3,Learning Activities:Lecture 3 hour(s).Enrollment Restriction(s):Limited to 30 students.Grade Mode:Letter.,,Lecture 3 hour(s),Letter,
MGT 258,Mergers & Acquisitions,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,MGT 205,Lecture 3 hour(s),Letter,
MGT 259,Banking & the Financial System,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,MGB 205orMGP 205; consent of instructor,Lecture 3 hour(s),Letter,
MGT 260,Corporate Finance,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,( MGT 200AorMGB 200AorMGP 200A ) ; ( MGP 202AorMGV 202AVorMGT 202A ) ; ( MGT 205orMGP 205orMGB 205 ) ,Lecture 3 hour(s),Letter,
MGT 261,Investment Analysis,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,( MGT 203AorMGB 203AorMGP 203A ) ; ( MGP 205orMGT 205orMGB 205 ) ,Lecture 3 hour(s),Letter,
MGT 262,Money & Security Markets,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,,Lecture 3 hour(s),Letter,
MGT 263,Derivative Securities,3,Learning Activities:Lecture/Discussion 3 hour(s).Enrollment Restriction(s):Open to students enrolled in the MBA program.Grade Mode:Letter.,( MGT 203AorMGB 203AorMGP 203A ) ; ( MGP 205orMGT 205orMGB 205 ) ,Lecture/Discussion 3 hour(s),Letter,
MGT 264,Business Taxation,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,,Lecture 3 hour(s),Letter,
MGT 265,Technology Finance & Valuation,3,Learning Activities:Lecture/Discussion 3 hour(s).Enrollment Restriction(s):Restricted to students in the MBA program; not open to students who have takenMGV 265V.Grade Mode:Letter.,MGT 205orMGP 205orMGB 205,Lecture/Discussion 3 hour(s),Letter,
MGT 266,International Finance,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,MGB 205orMGT 205orMGP 205; or the equivalent,Lecture 3 hour(s),Letter,
MGT 267,Teams & Technology,3,Learning Activities:Lecture/Discussion 3 hour(s).Enrollment Restriction(s):Restricted to working professional MBA students.Grade Mode:Letter.,Consent of instructor,Lecture/Discussion 3 hour(s),Letter,
MGT 268,Articulation & Critical Thinking,3,Learning Activities:Lecture/Discussion 3 hour(s).Grade Mode:Letter.,,Lecture/Discussion 3 hour(s),Letter,
MGT 270,Corporate Financial Reporting,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,MGT 200AorMGP 200AorMGB 200A,Lecture 3 hour(s),Letter,
MGT 271,Strategic Cost Management,3,Learning Activities:Lecture/Discussion 3 hour(s).Enrollment Restriction(s):Restricted to students in the MBA program.Grade Mode:Letter.,MGT 202AorMGP 202AorMGV 202AV,Lecture/Discussion 3 hour(s),Letter,
MGT 272,Evaluation of Financial Information,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,MGT 200AorMGP 200AorMGB 200A,Lecture 3 hour(s),Letter,
MGT 273,Accounting & Reporting for Government Nonprofit Entities,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,,Lecture 3 hour(s),Letter,
MGT 274,Corporate Governance,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,Full-time MBA students or consent of instructor,Lecture 3 hour(s),Letter,
MGT 276,"Real Estate, Finance & Development",3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,( MGP 205orMGT 205orMGB 205 ) ; ( MGP 201AorMGB 201AorMGT 201A ) ,Lecture 3 hour(s),Letter,
MGT 281,Systems Analysis & Design,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,,Lecture 3 hour(s),Letter,
MGT 282,Supply Chain Management,3,Learning Activities:Lecture/Discussion 3 hour(s).Enrollment Restriction(s):Restricted to students in the MBA program.Grade Mode:Letter.,MGT 203AorMGP 203AorMGB 203A,Lecture/Discussion 3 hour(s),Letter,
MGT 284,Applied Linear Models for Management,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,,Lecture 3 hour(s),Letter,
MGT 285,Time Series Analysis & Forecasting,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,MGT 203BorMGP 203BorMGP 203B,Lecture 3 hour(s),Letter,
MGT 286,Telecommunications & Computer Networks,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,MGT 280,Lecture 3 hour(s),Letter,
MGT 287,Business Database & Database Marketing,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.,,Lecture 3 hour(s),Letter,
